title,category,price,rating,availability,description,upc,num_reviews,product_url,stock_count,description_word_count,price_range,recommended
the black maria,poetry,52.15,1,in stock (19 available) in stock in stock in stock in stock in stock in stock,"praise for aracelis girmay:""[girmay's] every loss—she calls them estrangements—is a yearning for connection across time and place; her every fragment is a bulwark against ruin."" — o, the oprah magazine ""in aracelis girmay we have a poet who collects, polishes, and shares stories with such brilliant invention, tenderness, and intellectual liveliness that it is understandabl praise for aracelis girmay:""[girmay's] every loss—she calls them estrangements—is a yearning for connection across time and place; her every fragment is a bulwark against ruin."" — o, the oprah magazine ""in aracelis girmay we have a poet who collects, polishes, and shares stories with such brilliant invention, tenderness, and intellectual liveliness that it is understandable that we think of her as the blessed curator of our collective histories. there is in her art the vulnerability of one who lives inside of the stories that she gathers in this remarkable collection. her poems set off alarms even as they transform the world she inhabits, showing us, in the process, exactly what she asks of romare bearden’s art: ‘…how not to // assign all blackness near the sea / a captivity.’ this is one of the many sweet contradictions in the black maria, which ‘is a black flag / wounding the pastoral.’ i am deeply thankful that we have a poet of her unique and singular talent writing today."" —kwame dawestaking its name from the moon's dark plains, misidentified as seas by early astronomers, the black maria investigates african diasporic histories, the consequences of racism within american culture, and the question of human identity. central to this project is a desire to recognize the lives of eritrean refugees who have been made invisible by years of immigration crisis, refugee status, exile, and resulting statelessness. the recipient of a 2015 whiting award for poetry, girmay's newest collection elegizes and celebrates life, while wrestling with the humanistic notion of seeing beyond: seeing violence, seeing grace, and seeing each other better.""to the sea""great storage house, historyon which we rode, we touchedthe brief pulse of your flutteringpages, spelled with salt & life,your rage, your indifferenceyour gentleness washing our feet,all of you going onwhether or not we live,to you we bring our carnationsyellow & pink, how they floatlike bright sentences atopyour memory's dark hairaracelis girmay is the author of three poetry collections, the black maria; kingdom animalia, which won the isabella gardner award and was a finalist for the nbcc award; and teeth. the recipient of a 2015 whiting award, she has received grants and fellowships from the jerome, cave canem, and watson foundations, as well as civitella ranieri and the nea. she currently teaches at hampshire college's school for interdisciplinary arts and in drew university's low residency mfa program. originally from santa ana, california, she splits her time between new york and amherst, massachusetts. ...more",1dfe412b8ac00530,0,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,19,464,COSTLY,False
the boys in the boat: nine americans and their epic quest for gold at the 1936 berlin olympics,default,22.6,4,in stock (19 available) in stock in stock in stock in stock in stock in stock,"for readers of laura hillenbrand's seabiscuit and unbroken, the dramatic story of the american rowing team that stunned the world at hitler's 1936 berlin olympics daniel james brown’s robust book tells the story of the university of washington’s 1936 eight-oar crew and their epic quest for an olympic gold medal, a team that transformed the sport and grabbed the attention o for readers of laura hillenbrand's seabiscuit and unbroken, the dramatic story of the american rowing team that stunned the world at hitler's 1936 berlin olympics daniel james brown’s robust book tells the story of the university of washington’s 1936 eight-oar crew and their epic quest for an olympic gold medal, a team that transformed the sport and grabbed the attention of millions of americans. the sons of loggers, shipyard workers, and farmers, the boys defeated elite rivals first from eastern and british universities and finally the german crew rowing for adolf hitler in the olympic games in berlin, 1936. the emotional heart of the story lies with one rower, joe rantz, a teenager without family or prospects, who rows not for glory, but to regain his shattered self-regard and to find a place he can call home. the crew is assembled by an enigmatic coach and mentored by a visionary, eccentric british boat builder, but it is their trust in each other that makes them a victorious team. they remind the country of what can be done when everyone quite literally pulls together—a perfect melding of commitment, determination, and optimism. drawing on the boys’ own diaries and journals, their photos and memories of a once-in-a-lifetime shared dream, the boys in the boat is an irresistible story about beating the odds and finding hope in the most desperate of times—the improbable, intimate story of nine working-class boys from the american west who, in the depths of the great depression, showed the world what true grit really meant. it will appeal to readers of erik larson, timothy egan, james bradley, and david halberstam's the amateurs. ...more",e10e1e165dc8be4a,0,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,19,335,AFFORDABLE,True
"the coming woman: a novel based on the life of the infamous feminist, victoria woodhull",default,17.93,3,in stock (19 available) in stock in stock in stock in stock in stock in stock,"""if you have a heart, if you have a soul, karen hicks' the coming woman will make you fall in love with victoria woodhull.""-kinky friedman, author and governor of the heart of texas ""what kind of confidence would it take for a woman to buck the old boy's club of politics in 1872? more than 140 years pre-hillary, there was victoria woodhull. this book takes you back with a ""if you have a heart, if you have a soul, karen hicks' the coming woman will make you fall in love with victoria woodhull.""-kinky friedman, author and governor of the heart of texas ""what kind of confidence would it take for a woman to buck the old boy's club of politics in 1872? more than 140 years pre-hillary, there was victoria woodhull. this book takes you back with a breathtaking, present-tense bird's eye view into a time when women's liberation was primarily confined to one woman's very capable, independent mind. i couldn't put it down.""---ruth buzzi, golden globe award winner and television hall of fame inductee""sadly, too many americans have never heard of victoria woodhull, let alone learned of her story: her revolutionary campaign for the presidency at a time when women weren't even allowed to vote, her support for worker's rights, or her feminist commitment to equality, a century before the official battle over the equal rights amendment. but in the coming woman, karen hicks brings woodhull's efforts to life, and reminds us that some of our nation's greatest figures aren't always featured in the history books. it is a riveting account of an amazing woman and her struggle for justice and human dignity, told in an engaging and eminently readable style.""-tim wise, author, ""white like me: reflections on race from a privileged son""""the coming woman"" is a novel based on the life of feminist victoria woodhull, the first woman to run for u.s. president, 50 years before women could even vote!running for president wasn't victoria's only first as a woman. she was also the first to own a successful wall street firm, the first to publish a successful national newspaper, and the first to head the two-million-member spiritualist association. she was the first woman to enter the senate judiciary committee chambers to petition for woman's suffrage, her argument changing the entire focus of the suffragist movement by pointing out that the 14th and 15th amendments already gave women the vote.in her campaign for the presidency, victoria woodhull boldly addressed many of the issues we still face today: equal pay for equal work; freedom in love; corporate greed and political corruption fueled by powerful lobbyists; and the increasing disparity between the rich and the poor, to name only a few. her outspoken and common-sense ideas may shed a new perspective on the parallel conundrums of today's world.this bold, beautiful, and sexually progressive woman dared to take on society and religion. to make an example of the hypocrisy in what mark twain dubbed the gilded age, she exposed the extramarital affairs of the most popular religious figure of the day (henry ward beecher). this led to her persecution and imprisonment and the longest, most infamous trial of the 19th century. but it did not stop her fight for equality.victoria's epic story, set in the late 1800s, comes to life in a modern, fictional style, while staying true to the actual words and views of the many well-known characters. ...more",e72a5dfc7e9267b2,0,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,19,568,REASONABLE,False
the dirty little secrets of getting your dream job,business,33.34,4,in stock (19 available) in stock in stock in stock in stock in stock in stock,"drawing on his extensive experience evaluating applicants for his marketing agency, and featuring stories based on real-life situations, sample cover letters, resumes, and straightforward advice, don raskin’s the dirty little secrets of getting your dream job offers all the necessary tools for navigating the tough job market and securing your dream job.don raskin owns and drawing on his extensive experience evaluating applicants for his marketing agency, and featuring stories based on real-life situations, sample cover letters, resumes, and straightforward advice, don raskin’s the dirty little secrets of getting your dream job offers all the necessary tools for navigating the tough job market and securing your dream job.don raskin owns and operates mme, an advertising and marketing agency in new york city. during his twenty-five years at the agency he has interviewed hundreds of new college graduates for positions within his agency and has placed a strong emphasis on entry-level recruitment for positions in creative, account management, traffic, and production. raskin has also mentored countless students and their parents on best practices for the job search. over the years, raskin has kept exceptionally detailed notes on the interviews he has conducted, observing the good, the bad, the ridiculous, the irreverent. he also has a treasure trove of over-the-top cover letters, resumes, interviews, and post interview follow-ups he has conducted and received. now, he wants to share all the wisdom and insider secrets he has gathered to help students and first-time job seekers find a job in this economy.based on his remarkable expertise, raskin's book provides exclusive insight into the job search process and lets readers in on all of the dirty little secrets to landing their first job—or a new one—and finding career success. ...more",2597b5a345f45e1b,0,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,19,284,COSTLY,False
the requiem red,young adult,22.65,1,in stock (19 available) in stock in stock in stock in stock in stock,"patient twenty-nine.a monster roams the halls of soothing hills asylum. three girls dead. 29 is endowed with the curse…or gift of perception. she hears messages in music, sees lyrics in paintings. and the corn. a lifetime asylum resident, the orchestral corn music is the only constant in her life.mason, a new, kind orderly, sees 29 as a woman, not a lunatic. and as his bel patient twenty-nine.a monster roams the halls of soothing hills asylum. three girls dead. 29 is endowed with the curse…or gift of perception. she hears messages in music, sees lyrics in paintings. and the corn. a lifetime asylum resident, the orchestral corn music is the only constant in her life.mason, a new, kind orderly, sees 29 as a woman, not a lunatic. and as his belief in her grows, so does her self- confidence. that perhaps she might escape, might see the outside world. but the monster has other plans. the missing girls share one common thread...each was twenty-nine's cell mate. will she be next? ...more",f77dbf2323deb740,0,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,19,170,AFFORDABLE,False
sapiens: a brief history of humankind,history,54.23,5,in stock (20 available) in stock in stock in stock in stock,"from a renowned historian comes a groundbreaking narrative of humanity’s creation and evolution—a #1 international bestseller—that explores the ways in which biology and history have defined us and enhanced our understanding of what it means to be “human.”one hundred thousand years ago, at least six different species of humans inhabited earth. yet today there is only one—h from a renowned historian comes a groundbreaking narrative of humanity’s creation and evolution—a #1 international bestseller—that explores the ways in which biology and history have defined us and enhanced our understanding of what it means to be “human.”one hundred thousand years ago, at least six different species of humans inhabited earth. yet today there is only one—homo sapiens. what happened to the others? and what may happen to us?most books about the history of humanity pursue either a historical or a biological approach, but dr. yuval noah harari breaks the mold with this highly original book that begins about 70,000 years ago with the appearance of modern cognition. from examining the role evolving humans have played in the global ecosystem to charting the rise of empires, sapiens integrates history and science to reconsider accepted narratives, connect past developments with contemporary concerns, and examine specific events within the context of larger ideas.dr. harari also compels us to look ahead, because over the last few decades humans have begun to bend laws of natural selection that have governed life for the past four billion years. we are acquiring the ability to design not only the world around us, but also ourselves. where is this leading us, and what do we want to become?featuring 27 photographs, 6 maps, and 25 illustrations/diagrams, this provocative and insightful work is sure to spark debate and is essential reading for aficionados of jared diamond, james gleick, matt ridley, robert wright, and sharon moalem. ...more",4165285e1663650f,0,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,20,304,COSTLY,False
you can't bury them all: poems,poetry,33.63,2,in stock (17 available) in stock in stock in stock in stock in stock in stock,"a poetry that is at once harrowing, angry, and achingly beautiful patrick woodcock has spent the past seven years engaging with and being shaped by the people, politics, and landscapes of the kurdish north of iraq, fort good hope in the northwest territories, and azerbaijan. his powerful new collection offers a poetry that simultaneously explores hope and horror while doc a poetry that is at once harrowing, angry, and achingly beautiful patrick woodcock has spent the past seven years engaging with and being shaped by the people, politics, and landscapes of the kurdish north of iraq, fort good hope in the northwest territories, and azerbaijan. his powerful new collection offers a poetry that simultaneously explores hope and horror while documenting the transformative processes of coping. you can’t bury them all follows the narratives we construct to survive the tragic failures of our humanity to their very end: everything that’s buried by snow, dirt, and ash, just like everything that’s buried by politics, homophobia, sexism, racism, religion; and history is resurrected, demanding to be heard and addressed.in woodcock’s poetry, how we deal with what resurfaces is the key. what do those who suffer really mean to those who have abandoned them to small, conscience-soothing charitable donations or the occasional tweet? how can the poet, or anyone else, sleep at night knowing homosexuals are being thrown off building tops, after one steps into a hole and finds an abandoned corpse in an azeri cemetery, or after the elders of an aboriginal community are left helpless against those who only want to exploit them? still, you can’t bury them all demonstrates that the world is not just the horrific place the media often portrays. in each of the worlds he touches, woodcock discovers a spirit and strength to celebrate. ...more",55f9da0c5eea2e10,0,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,17,297,COSTLY,False
behind closed doors,thriller,52.22,4,in stock (18 available) in stock in stock in stock in stock in stock in stock,"the 2016 debut bloggers can't stop raving about. perfect for fans of the girl on the train and the ice twins everyone knows a couple like jack and grace.he has looks and wealth, she has charm and elegance. you might not want to like them, but you do. though, you’d like to get to know grace better.but it’s difficult, because you realise jack and grace are never apart.some the 2016 debut bloggers can't stop raving about. perfect for fans of the girl on the train and the ice twins everyone knows a couple like jack and grace.he has looks and wealth, she has charm and elegance. you might not want to like them, but you do. though, you’d like to get to know grace better.but it’s difficult, because you realise jack and grace are never apart.some might call this true love. others might ask why grace never answers the phone. or how she can never meet for coffee, even though she doesn’t work. how she can cook such elaborate meals but remain so slim. and why there are bars on one of the bedroom windows.sometimes, the perfect marriage is the perfect lie. ...more",be5cc846f45496fb,0,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,18,193,COSTLY,False
"in a dark, dark wood",mystery,19.63,1,in stock (18 available) in stock in stock in stock in stock in stock in stock,"in a dark, dark wood nora hasn't seen clare for ten years. not since nora walked out of school one day and never went back. there was a dark, dark houseuntil, out of the blue, an invitation to clare’s hen do arrives. is this a chance for nora to finally put her past behind her?and in the dark, dark house there was a dark, dark roombut something goes wrong. very wrong.and i in a dark, dark wood nora hasn't seen clare for ten years. not since nora walked out of school one day and never went back. there was a dark, dark houseuntil, out of the blue, an invitation to clare’s hen do arrives. is this a chance for nora to finally put her past behind her?and in the dark, dark house there was a dark, dark roombut something goes wrong. very wrong.and in the dark, dark room.... some things can’t stay secret for ever. ...more",19ed25f4641d5efd,0,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,18,156,REASONABLE,False
maude (1883-1993):she grew up with the country,default,18.02,2,in stock (18 available) in stock in stock in stock in stock in stock in stock,"this new edition of maude (1883-1993) has been updated by mardo williams’ daughters, adding historical details their dad wished to make, twice as many photos, and nine appendices not present in the 1996 hardcover (which won an ohioana library award for its author). during her 110-year lifetime, maude went from a 400-lb. wood-burning stove to a microwave oven, from an outdo this new edition of maude (1883-1993) has been updated by mardo williams’ daughters, adding historical details their dad wished to make, twice as many photos, and nine appendices not present in the 1996 hardcover (which won an ohioana library award for its author). during her 110-year lifetime, maude went from a 400-lb. wood-burning stove to a microwave oven, from an outdoor privy to indoor plumbing. she got the vote in 1920 and voted in the next 18 presidential elections.with poetry and human dramas (two murders and a suicide), written by a master journalist, the book shows the impact of the changing times on shy, unassuming maude, her fun-loving husband lee, and their four active children. they farmed 100 acres on the banks of rush creek in logan county (ohio).a favorite with book discussion groups, maude has been adopted by several colleges for use as a supplemental american history text. ...more",094b269567e1c300,0,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,18,211,REASONABLE,False
penny maybe,default,33.29,3,in stock (18 available) in stock in stock in stock in stock in stock in stock,"sent to yet another foster family, penny decides that the way to claim a sense of self is to swim lake ontario. although this seems impossible, she finds the courage to ask her physics teacher to be her coach, and wins the support of her new foster mother.",668fe56b17cfcd4f,0,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,18,48,COSTLY,False
sophie's world,philosophy,15.94,5,in stock (18 available) in stock in stock in stock in stock in stock in stock,"a page-turning novel that is also an exploration of the great philosophical concepts of western thought, sophie’s world has fired the imagination of readers all over the world, with more than twenty million copies in print.one day fourteen-year-old sophie amundsen comes home from school to find in her mailbox two notes, with one question on each: “who are you?” and “where a page-turning novel that is also an exploration of the great philosophical concepts of western thought, sophie’s world has fired the imagination of readers all over the world, with more than twenty million copies in print.one day fourteen-year-old sophie amundsen comes home from school to find in her mailbox two notes, with one question on each: “who are you?” and “where does the world come from?” from that irresistible beginning, sophie becomes obsessed with questions that take her far beyond what she knows of her norwegian village. through those letters, she enrolls in a kind of correspondence course, covering socrates to sartre, with a mysterious philosopher, while receiving letters addressed to another girl. who is hilde? and why does her mail keep turning up? to unravel this riddle, sophie must use the philosophy she is learning—but the truth turns out to be far more complicated than she could have imagined. ...more",6be3beb0793a53e7,0,https://books.toscrape.com/catalogue/sophies-world_966/index.html,18,212,REASONABLE,True
the bear and the piano,childrens,36.89,1,in stock (18 available) in stock in stock in stock in stock in stock in stock,"one day, a young bear stumbles upon something he has never seen before in the forest. as time passes, he teaches himself how to play the strange instrument, and eventually the beautiful sounds are heard by a father and son who are picnicking in the woods. the bear goes with them on an incredible journey to new york, where his piano playing makes him a huge star. he has fam one day, a young bear stumbles upon something he has never seen before in the forest. as time passes, he teaches himself how to play the strange instrument, and eventually the beautiful sounds are heard by a father and son who are picnicking in the woods. the bear goes with them on an incredible journey to new york, where his piano playing makes him a huge star. he has fame, fortune and all the music in the world, but he misses the friends and family he has left behind. a moving tale of exploration and belonging from an exciting debut author-illustrator. ...more",9f6568e9c95f60b0,0,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,18,172,COSTLY,False
the elephant tree,thriller,23.82,5,in stock (18 available) in stock in stock in stock in stock in stock in stock,"mark fallon is an overworked detective investigating a spate of attacks at a string of high profile city centre nightclubs. scott is a dejected 24 year old struggling to make ends meet working for his brother and supplementing his income with a small-scale drug dealing operation. angela is an attractive 23 year old, raised by her father, a career criminal and small time dr mark fallon is an overworked detective investigating a spate of attacks at a string of high profile city centre nightclubs. scott is a dejected 24 year old struggling to make ends meet working for his brother and supplementing his income with a small-scale drug dealing operation. angela is an attractive 23 year old, raised by her father, a career criminal and small time drug dealer who supplies scott with cannabis. this is a chilling tale spanning a few months in the lives of scott and angela, where realizations about the present combine with shocking revelations from the past leading to an apocalyptic climax where they no longer know whom they can trust. ...more",5dada2b7be26bd03,0,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,18,177,AFFORDABLE,True
the five love languages: how to express heartfelt commitment to your mate,nonfiction,31.05,3,in stock (18 available) in stock in stock in stock in stock in stock in stock,"are you and your spouse speaking the same language? while love is a many splendored thing, it is sometimes a very confusing thing, too. and as people come in all varieties, shapes, and sizes, so do their choices of personal expressions of love. but more often than not, the giver and the receiver express love in two different ways. this can lead to misunderstanding, quarrel are you and your spouse speaking the same language? while love is a many splendored thing, it is sometimes a very confusing thing, too. and as people come in all varieties, shapes, and sizes, so do their choices of personal expressions of love. but more often than not, the giver and the receiver express love in two different ways. this can lead to misunderstanding, quarrels, and even divorce.quality time, words of affirmation, gifts, acts of service, and physical touch are the five basic love languages. dr. gary chapman identifies these and guides couples towards a better understanding of their unique languages of love. learn to speak and understand your mate's love language, and in no time you will be able to effectively love and truly feel loved in return. skillful communication is within your grasp! ...more",3c039985229453bf,0,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,18,201,COSTLY,False
